x	y
1695	432.5
1725	420.5
1749	402.5
1767	378.5
1791	360.5
1809	360.5
1803	378.5
1791	402.5
1779	468.5
1779	504.5
1773	522.5
1773	540.5
1773	564.5
1779	576.5
1785	594.5
1773	636.5
1761	666.5
1737	690.5
1731	714.5
1749	738.5
1767	756.5
1791	756.5
1821	756.5
1851	756.5
1893	780.5
1917	786.5
1953	774.5
1941	726.5
1935	696.5
1953	672.5
1983	636.5
2013	618.5
2055	606.5
2085	606.5
2109	612.5
2133	618.5
2157	642.5
2181	672.5
2211	702.5
2235	720.5
2277	750.5
2325	786.5
2361	834.5
2373	888.5
2397	924.5
2415	966.5
2439	1002.5
2463	1032.5
2505	1068.5
2451	1014.5
2481	1050.5
2505	1068.5
2547	1110.5
2559	1116.5
2589.5	1134.5
2631.5	1152.5
2667.5	1194.5
2685.5	1230.5
2703.5	1254.5
2715.5	1266.5
2751.5	1290.5
2775.5	1320.5
2793.5	1339
2823.5	1369
2853.5	1387
2895.5	1411
2919.5	1423
2949.5	1447
2967.5	1471
2979.5	1513
2979.5	1543
2991.5	1561
2991.5	1585
2985.5	1621
2943.5	1657
2913.5	1675
2871.5	1687
2853.5	1687
2823.5	1699
2793.5	1711
2763.5	1711
2721.5	1705
2679.5	1693
2643.5	1699
2613.5	1711
2541	1765
2529	1789
2505	1819
2499	1843
2511	1861
2535	1867
2565	1879
2601.5	1891
2625.5	1891
2643.5	1891
2673.5	1891
2697.5	1885
2715.5	1879
2733.5	1873
2739.5	1885
2739.5	1921
2745.5	1945
2745.5	1987
2751.5	2041
2751.5	2089
2757.5	2137
2763.5	2209
2763.5	2245
2727.5	2245
2697.5	2245
2667.5	2251
2637.5	2257
2613.5	2275
2595.5	2299
2577.5	2311
2547	2329
2535	2353
2529	2377
2553	2407
2589.5	2431
2607.5	2437
2619.5	2437
2625.5	2437
