x	y
2625.5	2437
2547	2515
2445	2623.5
2349	2719.5
2229	2845.5
2151	2923.5
2079	3001.5
2013	3061.5
1959	3115.5
1905	3181.5
1827	3259.5
1755	3325.5
1707	3373.5
1659	3403.5
1635	3415.5
1623	3421.5
1611	3415.5
1575	3403.5
1551	3403.5
1533	3409.5
1515	3397.5
1509	3391.5
1503	3373.5
1497	3349.5
1485	3331.5
1461	3325.5
1443	3319.5
1413	3301.5
1395	3283.5
1371	3265.5
1353	3253.5
1316.5	3247.5
1286.5	3241.5
1256.5	3241.5
1226.5	3235.5
1196.5	3217.5
1184.5	3205.5
1184.5	3193.5
1184.5	3181.5
1172.5	3163.5
1148.5	3157.5
1130.5	3151.5
1112.5	3133.5
1106.5	3115.5
1106.5	3103.5
1106.5	3085.5
1094.5	3061.5
1082.5	3031.5
1046.5	2953.5
1034.5	2923.5
1016.5	2887.5
1004.5	2857.5
992.5	2827.5
974.5	2791.5
968.5	2761.5
962.5	2737.5
944.5	2689.5
932.5	2647.5
920.5	2611.5
902.5	2587.5
866.5	2563
830.5	2551
812.5	2557
782.5	2551
782.5	2551
758.5	2551
710.5	2557
668.5	2557
632.5	2557
596.5	2557
572.5	2551
554.5	2539
542.5	2515
530.5	2485
518.5	2455
506.5	2431
494.5	2395
476.5	2359
470.5	2335
464.5	2317
464.5	2299
482.5	2275
494.5	2257
512.5	2233
536.5	2197
554.5	2173
566.5	2161
584.5	2143
602.5	2137
626.5	2107
644.5	2083
662.5	2071
680.5	2065
722.5	2059
752.5	2047
776.5	2047
800.5	2053
824.5	2059
836.5	2065
848.5	2065
866.5	2047
878.5	2029
884.5	2017
902.5	1993
914.5	1981
920.5	1963
902.5	1927
872.5	1909
830.5	1885
782.5	1831
776.5	1783
764.5	1741
758.5	1711
728.5	1699
722.5	1681
716.5	1663
704.5	1651
686.5	1633
662.5	1633
650.5	1627
638.5	1615
626.5	1597
602.5	1561
602.5	1549
608.5	1537
632.5	1519
668.5	1501
680.5	1495
674.5	1465
668.5	1429
662.5	1399
656.5	1387
662.5	1357
674.5	1320.5
686.5	1272.5
698.5	1206.5
716.5	1146.5
728.5	1098.5
740.5	1062.5
752.5	1008.5
764.5	954.5
776.5	900.5
788.5	864.5
800.5	816.5
806.5	780.5
824.5	744.5
830.5	732.5
824.5	708.5
812.5	684.5
794.5	672.5
746.5	660.5
746.5	660.5
716.5	654.5
698.5	642.5
668.5	624.5
662.5	606.5
662.5	600.5
650.5	594.5
644.5	606.5
638.5	612.5
632.5	606.5
614.5	600.5
596.5	594.5
572.5	594.5
530.5	594.5
464.5	600.5
428.5	612.5
404.5	618.5
374.5	624.5
338.5	648.5
314.5	672.5
290.5	702.5
278.5	726.5
272.5	750.5
266.5	774.5
248.5	786.5
218.5	750.5
194.5	720.5
170.5	714.5
164.5	690.5
176.5	672.5
194.5	636.5
218.5	606.5
224.5	582.5
206.5	546.5
188.5	528.5
176.5	516.5
158.5	504.5
146.5	492.5
146.5	480.5
158.5	480.5
170.5	474.5
188.5	474.5
200.5	480.5
212.5	486.5
230.5	492.5
242.5	498.5
260.5	504.5
284.5	510.5
302.5	510.5
332.5	498.5
356.5	486.5
380.5	468.5
392.5	450.5
410.5	438.5
434.5	444.5
452.5	444.5
482.5	438.5
506.5	432.5
530.5	420.5
560.5	396.5
584.5	384.5
614.5	378.5
644.5	378.5
662.5	378.5
686.5	366.5
698.5	354.5
716.5	348.5
734.5	330.5
746.5	324.5
770.5	312.5
782.5	294.5
776.5	270.5
776.5	252.5
788.5	252.5
812.5	246.5
830.5	234.5
854.5	192.5
878.5	174.5
902.5	174.5
920.5	168.5
938.5	168.5
980.5	156.5
998.5	132.5
1022.5	108.5
1022.5	96.5
1040.5	72
1058.5	66
1070.5	54
1070.5	48
1076.5	42
1082.5	42
1142.5	6
1166.5	-12
1190.5	18
1196.5	36
1202.5	60
1184.5	108.5
1154.5	144.5
1118.5	180.5
1100.5	210.5
1106.5	264.5
1130.5	276.5
1160.5	276.5
1190.5	276.5
1226.5	270.5
1262.5	258.5
1304.5	246.5
1353	228.5
1377	204.5
1395	174.5
1401	168.5
1437	156.5
1443	156.5
1437	174.5
1431	198.5
1443	228.5
1449	258.5
1443	288.5
1449	324.5
1461	354.5
1467	390.5
1473	420.5
1485	438.5
1503	450.5
1539	444.5
1557	438.5
1575	432.5
1593	432.5
1611	432.5
1641	438.5
1671	438.5
